         y                       y+                           produc                    t-diff                  v-diff              p-strain                     p-diff                  dissip                     bal       
    7.353658112278016e-02    7.357420438201923e+01    5.614717700429485e-02    8.072447088448648e-03    6.159937337039593e-04   -3.775252973352885e-02    0.000000000000000e+00    2.702215559225093e-02    6.093250066766670e-05
    7.589469448166786e-02    7.593352421405079e+01    5.438730251057083e-02    7.393549069683853e-03    5.430139716163310e-04   -3.647992821372684e-02    0.000000000000000e+00    2.581732415570789e-02    2.661318243629002e-05
    7.828857109661391e-02    7.832862559956811e+01    5.272519085625361e-02    6.754812341477737e-03    4.780935793924800e-04   -3.526901205944084e-02    0.000000000000000e+00    2.469622355506504e-02   -7.138837382052871e-06
    8.071811832360687e-02    8.075941584716060e+01    5.115227459846664e-02    6.170284174149403e-03    4.184483053402343e-04   -3.411760299545371e-02    0.000000000000000e+00    2.365006996775199e-02   -2.666588524941754e-05
    8.318324213816819e-02    8.322580088424431e+01    4.966163471208141e-02    5.627044465666283e-03    3.684868063482301e-04   -3.302241060910828e-02    0.000000000000000e+00    2.267315248390542e-02   -3.839710891777315e-05
    8.568384713899047e-02    8.572768526070200e+01    4.824621560506146e-02    5.107475870765216e-03    3.270956302310533e-04   -3.198056611244430e-02    0.000000000000000e+00    2.175907041090527e-02   -5.884941729183621e-05
    8.821983655163002e-02    8.826497215257763e+01    4.689969889325706e-02    4.615271446944645e-03    2.899988688705915e-04   -3.098892426801784e-02    0.000000000000000e+00    2.090163637814309e-02   -8.559143708863556e-05
    9.079111223225178e-02    9.083756336582316e+01    4.561624741484457e-02    4.163514174241394e-03    2.543981471560163e-04   -3.004389311095346e-02    0.000000000000000e+00    2.009522612044385e-02   -1.049594951553177e-04
    9.339757467142740e-02    9.344535934009856e+01    4.439148470268454e-02    3.754970133513438e-03    2.240969999906472e-04   -2.914223006174111e-02    0.000000000000000e+00    1.933839439285158e-02   -1.100726184040529e-04
    9.603912299798678e-02    9.608825915262541e+01    4.322338996507714e-02    3.379608572635687e-03    1.968882077043788e-04   -2.828024568635774e-02    0.000000000000000e+00    1.862814993019934e-02   -1.085088711398723e-04
    9.871565498292123e-02    9.876616052209194e+01    4.210621594719800e-02    3.021514314914752e-03    1.730837317723135e-04   -2.745530891746780e-02    0.000000000000000e+00    1.795901805939780e-02   -1.135129829805369e-04
    1.014270670433401e-01    1.014789598126118e+02    4.103262884476631e-02    2.677567256408322e-03    1.536644371142671e-04   -2.666724729955814e-02    0.000000000000000e+00    1.732706018817292e-02   -1.304469494421596e-04
    1.041732542464798e-01    1.042265520377349e+02    4.000178160325790e-02    2.367834966270172e-03    1.347160077494878e-04   -2.591543076352548e-02    0.000000000000000e+00    1.672935084927354e-02   -1.404490355214581e-04
    1.069541103137640e-01    1.070088308645100e+02    3.901505033183415e-02    2.102068546431261e-03    1.165374047620466e-04   -2.519824344968067e-02    0.000000000000000e+00    1.616400073453917e-02   -1.285879011923841e-04
    1.097695276249171e-01    1.098256886176003e+02    3.806905523248461e-02    1.868940975087255e-03    1.038521140699735e-04   -2.451449037456471e-02    0.000000000000000e+00    1.563033602013943e-02   -1.029780730623063e-04
    1.126193972221293e-01    1.126770162834501e+02    3.715802086549898e-02    1.664433220003836e-03    9.067431233522233e-05   -2.386327472367075e-02    0.000000000000000e+00    1.512419489313976e-02   -7.434121897246723e-05
    1.155036088142730e-01    1.155627035145041e+02    3.627890536824752e-02    1.476511636324759e-03    8.259418187632456e-05   -2.324357589969691e-02    0.000000000000000e+00    1.464541330808900e-02   -5.097802133730706e-05
    1.184220507811713e-01    1.184826386334774e+02    3.542955901549939e-02    1.293197291082207e-03    7.771465381329185e-05   -2.265375958819361e-02    0.000000000000000e+00    1.419113524371695e-02   -4.442387151566002e-05
    1.213746101779175e-01    1.214367086376778e+02    3.460772154517344e-02    1.134675914074643e-03    6.601321123063424e-05   -2.209022694031999e-02    0.000000000000000e+00    1.375629439171269e-02   -3.811066155396531e-05
    1.243611727392467e-01    1.244247992033793e+02    3.381389874635990e-02    1.007397748231062e-03    5.305274560383490e-05   -2.154911967019247e-02    0.000000000000000e+00    1.334104139352435e-02   -1.581182352202760e-05
    1.273816228839574e-01    1.274467946902459e+02    3.304914568727323e-02    8.846087683015209e-04    4.566374486205412e-05   -2.102753119025021e-02    0.000000000000000e+00    1.294564089152958e-02    6.246118657014452e-06
    1.304358437193842e-01    1.305025781458070e+02    3.230968389612093e-02    7.574690593923342e-04    4.234465599564047e-05   -2.052393894591023e-02    0.000000000000000e+00    1.256854084437368e-02    1.701782122499017e-05
    1.335237170459227e-01    1.335920313099839e+02    3.159197171262028e-02    6.406424834231653e-04    3.708417666061495e-05   -2.003768674449141e-02    0.000000000000000e+00    1.220843372891845e-02    2.357789929420713e-05
    1.366451233616027e-01    1.367150346196663e+02    3.089618789016306e-02    5.357270250149017e-04    3.232844440301919e-05   -1.956894079811347e-02    0.000000000000000e+00    1.186566022769869e-02    2.964233376881280e-05
    1.397999418667141e-01    1.398714672133395e+02    3.022033274975221e-02    4.315578782170870e-04    3.210504955143809e-05   -1.911806478961120e-02    0.000000000000000e+00    1.153923475746306e-02    2.669613044648314e-05
    1.429880504684807e-01    1.430612069357617e+02    2.956299966560401e-02    3.268676790249864e-04    3.348921150161540e-05   -1.868446394059502e-02    0.000000000000000e+00    1.122686487947753e-02    1.202773605806298e-05
    1.462093257857862e-01    1.462841303426913e+02    2.892497472997097e-02    2.247958182292373e-04    3.299297701517235e-05   -1.826644314079387e-02    0.000000000000000e+00    1.092639414036845e-02   -1.007375594694153e-05
    1.494636431539486e-01    1.495401127056647e+02    2.830595355839049e-02    1.351693868379366e-04    2.926728733277282e-05   -1.786193036177232e-02    0.000000000000000e+00    1.063644084755782e-02   -2.798097676894040e-05
