Reynolds number, Cd
328748.1809605521, 1.0192094412057444
332084.34321871185, 0.9963799232191101
316965.7744905809, 0.9733285937722169
336305.49886365497, 0.8841632304848572
357203.9493720668, 0.7575799800938434
357393.4547390816, 0.7388710365420164
376143.3033491733, 0.6018569600454999
365781.6828575884, 0.5871946537750605
362662.24536105484, 0.5559761126119722
362897.41615220386, 0.533109626048628
370060.24325895373, 0.5103170766387034
365580.5482163469, 0.2732631878288072
369290.48821879236, 0.25043366984217275
394471.7664963648, 0.2569287643964169
421568.81514642277, 0.2467936869045928
442275.78378733434, 0.22203327171903875
509559.20782541373, 0.226745343381203
495639.2003874233, 0.20376795108772927
451085.1142400759, 0.1930044077918387
524951.8093486885, 0.17696573297312668
524766.224941024, 0.18943836200767827
593630.6011980441, 0.17328878145883708
690676.7665299991, 0.1655651926631594
865409.5217866186, 0.2101066401251246
1225055.7039877505, 0.2842314801649368
1479268.2013036544, 0.29952225223944273
2971774.0273081423, 0.35838475757144894
3054516.0700560915, 0.3896772358879568
3757174.5149319526, 0.41959334565619233
4168693.834703355, 0.42000000000000015
4893636.830625421, 0.4310223233328595
5127354.673834347, 0.451994881273994
5634784.259653798, 0.45652211005260934
6194986.738988627, 0.44649793829091444
6742858.1120496085, 0.4572245130100955
7266308.063662611, 0.4866230627043937
8214529.274057622, 0.49333996871889674
