Reynolds number, Cd
10094.16420369027, 0.9639751552795033
11803.944382803156, 0.9888198757763977
14241.910742114673, 1.0211180124223602
18440.42408855029, 1.036024844720497
24637.29797792957, 1.0459627329192547
44326.13922402543, 1.058385093167702
68727.2638933213, 1.0608695652173914
114341.37371367517, 1.0658385093167702
187294.20086135136, 1.0534161490683231
210682.8791263184, 1.0236024844720497
229731.34990128584, 0.9614906832298138
300539.6108232935, 0.5962732919254659
389669.04368809354, 0.4024844720496894
448888.7303344669, 0.32546583850931676
500956.4847626344, 0.31055900621118027
599863.4787956645, 0.3031055900621118
696031.631934601, 0.3204968944099378
839843.2783920118, 0.34285714285714297
1078805.614422145, 0.37763975155279494
1752359.9918967655, 0.4496894409937888
2779853.5400126018, 0.5490683229813667
4273046.2671855455, 0.675776397515528
6320366.217056007, 0.6981366459627332
