129
178.1
   4.6500e-01     1.8751e+00   6.1487e-01   8.7137e-01  -4.9947e-01   1.6637e+01   5.8101e+00   -1.8677e-02  
   4.8590e-01     1.7993e+00   6.0122e-01   8.4143e-01  -4.8020e-01   1.6756e+01   5.5762e+00   -1.7405e-02  
   5.0710e-01     1.7278e+00   5.8703e-01   8.0972e-01  -4.6062e-01   1.6872e+01   5.3572e+00   -1.6216e-02  
   5.2860e-01     1.6578e+00   5.7221e-01   7.7627e-01  -4.4060e-01   1.6985e+01   5.1431e+00   -1.5138e-02  
   5.5039e-01     1.5889e+00   5.5678e-01   7.4250e-01  -4.2015e-01   1.7094e+01   4.9190e+00   -1.4113e-02  
   5.7244e-01     1.5209e+00   5.4090e-01   7.0967e-01  -3.9934e-01   1.7200e+01   4.6797e+00   -1.3110e-02  
   5.9476e-01     1.4524e+00   5.2493e-01   6.7832e-01  -3.7818e-01   1.7302e+01   4.4454e+00   -1.2177e-02  
   6.1732e-01     1.3834e+00   5.0917e-01   6.4789e-01  -3.5664e-01   1.7400e+01   4.2345e+00   -1.1345e-02  
   6.4010e-01     1.3152e+00   4.9371e-01   6.1780e-01  -3.3483e-01   1.7494e+01   4.0404e+00   -1.0592e-02  
   6.6311e-01     1.2490e+00   4.7867e-01   5.8801e-01  -3.1287e-01   1.7585e+01   3.8498e+00   -9.8859e-03  
   6.8632e-01     1.1852e+00   4.6421e-01   5.5842e-01  -2.9066e-01   1.7672e+01   3.6641e+00   -9.2333e-03  
   7.0972e-01     1.1227e+00   4.5050e-01   5.2921e-01  -2.6817e-01   1.7756e+01   3.4775e+00   -8.6466e-03  
   7.3329e-01     1.0616e+00   4.3759e-01   5.0080e-01  -2.4557e-01   1.7835e+01   3.2782e+00   -8.1196e-03  
   7.5702e-01     1.0026e+00   4.2550e-01   4.7392e-01  -2.2299e-01   1.7911e+01   3.0594e+00   -7.6357e-03  
   7.8090e-01     9.4625e-01   4.1436e-01   4.4939e-01  -2.0066e-01   1.7981e+01   2.8107e+00   -7.1816e-03  
   8.0491e-01     8.9316e-01   4.0444e-01   4.2746e-01  -1.7865e-01   1.8045e+01   2.5378e+00   -6.7748e-03  
   8.2904e-01     8.4348e-01   3.9595e-01   4.0820e-01  -1.5676e-01   1.8103e+01   2.2524e+00   -6.4267e-03  
   8.5327e-01     7.9787e-01   3.8900e-01   3.9186e-01  -1.3470e-01   1.8154e+01   1.9614e+00   -6.1337e-03  
   8.7759e-01     7.5761e-01   3.8360e-01   3.7851e-01  -1.1241e-01   1.8198e+01   1.6656e+00   -5.8798e-03  
   9.0198e-01     7.2362e-01   3.7966e-01   3.6772e-01  -8.9993e-02   1.8235e+01   1.3529e+00   -5.6616e-03  
   9.2644e-01     6.9654e-01   3.7702e-01   3.5921e-01  -6.7582e-02   1.8264e+01   1.0188e+00   -5.5016e-03  
   9.5093e-01     6.7726e-01   3.7542e-01   3.5288e-01  -4.5131e-02   1.8285e+01   6.7263e-01   -5.3930e-03  
   9.7546e-01     6.6615e-01   3.7460e-01   3.4876e-01  -2.2612e-02   1.8297e+01   3.2984e-01   -5.3255e-03  
   1.0000e+00     6.6256e-01   3.7436e-01   3.4727e-01   0.0000e+00   1.8301e+01   0.0000e+00   -5.3048e-03  
