            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
          10.929         17008.2         11311.6     -1.0058e-16         311.537        -5.66025      -0.0459615         -134905          207764         18.1969       0.0760328         1.75476
          10.932         17032.3         11478.2    -9.94449e-17         311.572        -5.43141       -0.045856         -136927          208052         18.0981       0.0490129         1.75549
          10.935         17056.9         11639.1    -9.83581e-17         311.607        -5.19772      -0.0457596         -138882          208346          17.985       0.0245477         1.75622
          10.938         17082.1         11794.4    -9.72224e-17         311.642        -4.95941      -0.0456709         -140769          208646         17.8578       0.0274002         1.75697
          10.941         17107.6         11944.2    -9.60202e-17         311.678        -4.71671      -0.0455878         -142589          208952         17.7163       0.0483718         1.75771
          10.944         17133.6         12088.2    -9.48715e-17         311.713        -4.46983      -0.0455101         -144342          209263         17.5605       0.0787315         1.75847
          10.947         17159.7         12226.6    -9.36982e-17         311.749          -4.219      -0.0454375         -146026          209576         17.3901       0.0549714         1.75923
           10.95         17186.1         12359.2    -9.24658e-17         311.785        -3.96444      -0.0453698         -147642          209893         17.2048       0.0242358         1.75999
          10.953         17212.8           12486    -9.12216e-17         311.821        -3.70635      -0.0453067         -149189          210212         17.0051       0.0272408         1.76076
          10.956         17239.8         12606.8    -8.99647e-17         311.857        -3.44444      -0.0452484         -150664          210536         16.7891       0.0537489         1.76153
          10.959           17267         12721.9    -8.86934e-17         311.893        -3.17944      -0.0451945         -152070          210862         16.5597       0.0719842          1.7623
          10.962         17294.4         12831.2    -8.73365e-17          311.93        -2.91153      -0.0451439         -153407          211191          16.317       0.0191265         1.76308
          10.965         17321.9         12934.6    -8.58923e-17         311.966        -2.64092      -0.0450949         -154673          211521         16.0614       0.0303353         1.76386
          10.968         17349.4           13032    -8.44201e-17         312.004         -2.3678      -0.0450469         -155868          211852         15.7933       0.0385928         1.76465
          10.971         17376.8         13123.6    -8.28923e-17         312.041        -2.09236      -0.0449998         -156993          212182         15.5131       0.0667539         1.76543
          10.974         17404.1         13209.3    -8.13125e-17         312.079        -1.81479      -0.0449532         -158046          212511         15.2211      0.00740914         1.76622
          10.977         17431.3         13288.9    -7.97165e-17         312.117        -1.53525       -0.044908         -159029          212838         14.9174        0.029309         1.76701
           10.98         17458.4         13362.6    -7.81133e-17         312.156        -1.25394      -0.0448648         -159939          213164         14.6022        0.044527         1.76779
          10.983         17485.3         13430.3    -7.64495e-17         312.195       -0.971012      -0.0448214         -160777          213489         14.2762       0.0519516         1.76858
          10.986           17512         13492.1    -7.46627e-17         312.235       -0.686643      -0.0447761         -161545          213811         13.9398       0.0253518         1.76936
          10.989         17538.2           13548    -7.28464e-17         312.275          -0.401      -0.0447288         -162242          214127          13.593       0.0276975         1.77015
          10.992         17563.9         13597.9    -7.10438e-17         312.316       -0.114248      -0.0446795         -162868          214438          13.236       0.0376738         1.77093
          10.995         17589.1         13641.9    -6.92341e-17         312.357        0.173443       -0.044628         -163422          214743         12.8691      0.00475438         1.77171
          10.998         17613.8         13679.9    -6.73968e-17         312.399          0.4619      -0.0445746         -163905          215042          12.492         0.02419         1.77249
          11.001           17638         13711.9    -6.56266e-17         312.441        0.750949      -0.0445206         -164315          215334         12.1049       0.0131911         1.77326
          11.004         17661.6           13738    -6.38363e-17         312.484         1.04042      -0.0444643         -164654          215620         11.7078      0.00225456         1.77403
          11.007         17684.4         13758.1    -6.20204e-17         312.528         1.33013      -0.0444039         -164922          215897         11.3013       0.0158478         1.77479
           11.01         17706.4         13772.4    -6.02139e-17         312.572         1.61992      -0.0443387         -165119          216165         10.8855       0.0191323         1.77555
          11.013         17727.6         13780.8    -5.84172e-17         312.617          1.9096      -0.0442688         -165246          216422         10.4604      0.00124452         1.77631
          11.016         17747.9         13783.4    -5.66941e-17         312.662         2.19899      -0.0441952         -165303          216669          10.026       0.0069976         1.77706
          11.019         17767.4         13779.9    -5.49902e-17         312.708         2.48792      -0.0441181         -165288          216906           9.582       0.0153769         1.77781
          11.022           17786         13770.5     -5.3381e-17         312.754         2.77618      -0.0440384         -165200          217134         9.12826      0.00633544         1.77855
          11.025         17803.8         13755.2    -5.17466e-17         312.802          3.0636      -0.0439538         -165042          217351         8.66547       0.0134876         1.77928
          11.028         17820.7         13734.1    -5.00651e-17         312.849         3.35002      -0.0438629         -164815          217557         8.19386       0.0211157            1.78
          11.031         17836.4         13707.3    -4.84178e-17         312.898          3.6353      -0.0437657         -164519          217750         7.71345       0.0223951         1.78072
          11.034           17851         13674.8    -4.68219e-17         312.947         3.91927      -0.0436631         -164154          217930          7.2241       0.0173817         1.78143
          11.037         17864.7         13636.4    -4.52877e-17         312.996         4.20176      -0.0435552         -163719          218098         6.72567       0.0273392         1.78213
           11.04         17877.3         13592.3    -4.38148e-17         313.046         4.48211      -0.0434426         -163215          218254         6.21978       0.0277094         1.78282
          11.043         17888.9         13542.4    -4.24047e-17         313.096         4.76065      -0.0433255         -162641          218397         5.70466       0.0275663          1.7835
          11.046         17899.4           13487     -4.0943e-17         313.147         5.03722      -0.0432015         -162001          218528         5.18127       0.0222534         1.78416
          11.049         17908.6           13426    -3.94713e-17         313.198         5.31166      -0.0430698         -161293          218645         4.64968       0.0236295         1.78481
          11.052         17916.6         13359.4    -3.79651e-17          313.25         5.58381       -0.042931         -160519          218746         4.10979       0.0119889         1.78545
          11.055         17923.4         13287.3    -3.64665e-17         313.301          5.8535      -0.0427863         -159677          218832         3.56155        0.021728         1.78609
          11.058         17929.1         13209.6    -3.49202e-17         313.353          6.1206      -0.0426361         -158769          218904         3.00503       0.0232059          1.7867
