            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
          31.803         20852.8         -859.64     2.59453e-16         262.309         1.37732        0.139068         12598.9          259255        -34.1262       0.0415026         1.77527
          31.806           20880         -909.12     2.63271e-16          262.29         1.32359        0.154055         13085.8          259595        -34.2601       0.0400366         1.77523
          31.809         20886.3        -959.685     2.59614e-16         262.271         1.26907        0.170301         13585.9          259663        -34.3868       0.0385573         1.77519
          31.812         20888.8        -1010.97     2.58012e-16         262.253         1.21385        0.187721         14095.1          259683        -34.5125       0.0370614         1.77515
          31.815         20890.5        -1062.39     2.60556e-16         262.234         1.15803        0.206206         14605.7          259693        -34.6371       0.0355543         1.77511
          31.818         20892.1        -1113.73     2.67476e-16         262.216         1.10173        0.225627         15114.9          259699        -34.7599       0.0340466         1.77509
          31.821         20893.6        -1164.99     2.78946e-16         262.197         1.04506        0.245841         15623.1          259704        -34.8805       0.0325556         1.77508
          31.824           20895        -1216.18     2.93354e-16         262.178        0.988141        0.266706         16130.3          259709        -34.9986       0.0311083         1.77508
          31.827         20896.4        -1267.21      3.1058e-16         262.158        0.931065        0.288094         16635.4          259712        -35.1136        0.029745         1.77509
           31.83         20897.9        -1318.11     3.30132e-16         262.138        0.873908        0.309887         17138.8          259715        -35.2252       0.0285224          1.7751
          31.833         20899.2        -1368.91     3.52752e-16         262.118        0.816734        0.331984         17641.1          259717        -35.3331       0.0275135         1.77512
          31.836         20900.6        -1419.52     3.78516e-16         262.097        0.759588        0.354293         18141.2          259718        -35.4369       0.0268006         1.77515
          31.839           20902        -1470.02     4.06495e-16         262.076        0.702502        0.376733         18640.1          259718        -35.5365       0.0264556         1.77519
          31.842         20903.3        -1520.32     4.36026e-16         262.055        0.645499        0.399221         19136.7          259718        -35.6314       0.0265156         1.77522
          31.845         20904.8        -1570.48     4.67755e-16         262.034        0.588608        0.421672         19631.6          259719        -35.7216       0.0269648         1.77526
          31.848         20906.2        -1620.41      5.0327e-16         262.012        0.531853        0.444002         20123.8          259719        -35.8067       0.0277425         1.77531
          31.851         20907.7        -1670.19     5.45075e-16         261.991        0.475256        0.466139         20614.1          259718         -35.887       0.0287661         1.77535
          31.854         20909.2        -1719.81     5.93457e-16          261.97        0.418827        0.488016         21102.5          259717        -35.9625       0.0299558         1.77539
          31.857         20910.7        -1769.16     6.47764e-16         261.948         0.36258        0.509576         21587.8          259715        -36.0326       0.0312462         1.77544
           31.86         20912.3        -1818.26     7.06921e-16         261.927        0.306515        0.530772         22070.4          259715        -36.0977       0.0310814         1.77548
          31.863         20913.8        -1867.14     7.70548e-16         261.905        0.250636        0.551569         22550.9          259713        -36.1578       0.0298128         1.77552
