y,y+,Umean,dUmean/dy,Wmean,Pmean,dissip,produc,R_uu,R_vv,R_ww,R_uv,R_uw,R_vw,k
0.000000000000,0.000000000000,0.000000000000,1.000000000000,0.000000000000,0.000000000000,0.270540050860,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
0.000001217312,0.002428240185,0.002428238707,0.999998782676,0.000000985758,0.000000000000,0.270415654401,0.000000000015,0.000001102624,0.000000000000,0.000000492208,-0.000000000015,0.000000000344,0.000000000000,0.000000797416
0.000006086538,0.012141159539,0.012141122585,0.999993911628,0.000004928775,-0.000000000004,0.269920876052,0.000000001909,0.000027558531,0.000000000004,0.000012275397,-0.000000001909,0.000000008598,-0.000000000001,0.000019916966
0.000017042218,0.033995072903,0.033994782877,0.999982916347,0.000013800500,-0.000000000232,0.268823799518,0.000000042011,0.000215937020,0.000000000232,0.000095716596,-0.000000042011,0.000000067570,-0.000000000014,0.000155826924
0.000036518789,0.072846088201,0.072844750591,0.999963068719,0.000029572293,-0.000000004834,0.266927118330,0.000000415044,0.000990581492,0.000000004834,0.000435295177,-0.000000415059,0.000000311564,-0.000000000135,0.000712940752
0.000066950543,0.133550023690,0.133545467756,0.999930484294,0.000054215368,-0.000000053567,0.264094354170,0.000002573404,0.003324593183,0.000000053567,0.001441287435,-0.000002573581,0.000001053949,-0.000000000845,0.002382967092
0.000110771585,0.220962325200,0.220949442022,0.999877492786,0.000089700623,-0.000000390451,0.260274898654,0.000011757023,0.009083081461,0.000000390451,0.003861761866,-0.000011758453,0.000002911564,-0.000000003884,0.006472616889
0.000170415790,0.339937983389,0.339905367735,0.999786335907,0.000137998081,-0.000002106629,0.255518583812,0.000043293197,0.021444500998,0.000002106629,0.008879286085,-0.000043302408,0.000006975002,-0.000000014386,0.015162946856
0.000247099453,0.492903210814,0.492825986208,0.999619207367,0.000200089542,-0.000008875386,0.250051119565,0.000133756660,0.044953552319,0.000008875386,0.017993299196,-0.000133807486,0.000014886865,-0.000000044606,0.031477863451
0.000340821269,0.679855400585,0.679679681865,0.999303020872,0.000275965025,-0.000030304445,0.244185565396,0.000356128484,0.085238795480,0.000030304445,0.032743188671,-0.000356376535,0.000028824588,-0.000000118761,0.059006144298
0.000451579640,0.900791366597,0.900400955067,0.998707272571,0.000365601580,-0.000087237086,0.238156764811,0.000840447141,0.149088611672,0.000087237086,0.054582439787,-0.000841534228,0.000051609762,-0.000000279120,0.101879144272
0.000579372677,1.155707343578,1.154859055810,0.997619356862,0.000468951303,-0.000218659530,0.232078587153,0.001797623504,0.244357944111,0.000218659530,0.084716569634,-0.001801911550,0.000086767992,-0.000000592326,0.164646586638
0.000724198204,1.444598987158,1.442807479392,0.995719287405,0.000585922707,-0.000489238079,0.225922797429,0.003542299371,0.379765160058,0.000489238079,0.123974705190,-0.003557524890,0.000138547864,-0.000001154980,0.252114551664
0.000886053752,1.767461373939,1.763809898431,0.992559975339,0.000716354232,-0.000996023992,0.219532040830,0.006506730191,0.564488876276,0.000996023992,0.172728010058,-0.006555497461,0.000211849410,-0.000002096949,0.369106455163
0.001064936563,2.124289001585,2.117141328469,0.987561755928,0.000859979650,-0.001872760334,0.212677718693,0.011234049463,0.807470798563,0.001872760334,0.230862646608,-0.011375531367,0.000311998304,-0.000003580202,0.520103102753
0.001260843588,2.515075788909,2.501669244974,0.980030394315,0.001016386759,-0.003290566580,0.205158788440,0.018338245335,1.116377140099,0.003290566580,0.297808506890,-0.018711899232,0.000444316542,-0.000005790513,0.708738106784
0.001473771488,2.939815075981,2.915727280937,0.969204720010,0.001184972945,-0.005454472058,0.196913270867,0.028422731811,1.496280071678,0.005454472058,0.372617552559,-0.029325805378,0.000613502025,-0.000008920543,0.937176048147
0.001703716635,3.398499624239,3.357001883154,0.954333099168,0.001364903714,-0.008596102801,0.188097138584,0.041961016068,1.948267367701,0.008596102801,0.454078045826,-0.043968907780,0.000822919812,-0.000013146516,1.205470758164
0.001950675109,3.891121616615,3.822456823807,0.934769052364,0.001555082012,-0.012963541711,0.179091052623,0.059159421201,2.468309618425,0.012963541711,0.540845037832,-0.063287694947,0.001073962576,-0.000018606312,1.511059098984
0.002214642703,4.417672657667,4.308319093210,0.910068845929,0.001754136163,-0.018809779398,0.170424458152,0.079836656534,3.046737815978,0.018809779398,0.631565343270,-0.087725893748,0.001365596785,-0.000025390622,1.848556469323
0.002495614917,4.978143773719,4.810141593020,0.880070989817,0.001960431687,-0.026381175143,0.162643250378,0.103359983335,3.668573813834,0.026381175143,0.724977994996,-0.117444979088,0.001694116204,-0.000033554395,2.209966491986
0.002793586963,5.572525413020,5.322944809228,0.844940611481,0.002172108065,-0.035907011576,0.156171073529,0.128667472777,4.314740553461,0.035907011576,0.819978114729,-0.152279813903,0.002053103060,-0.000043142589,2.585312839883
0.003108553762,6.200807445902,5.841424806966,0.805169586314,0.002387137104,-0.047590709284,0.151213356811,0.154382113102,4.963940262553,0.047590709284,0.915641071062,-0.191738529003,0.002433667207,-0.000054213397,2.963586021450
0.003440509948,6.862979164955,6.360202535725,0.761533274857,0.002603396035,-0.061602761894,0.147730735382,0.178995269197,5.594819739545,0.061602761894,1.011212211065,-0.235045780901,0.002825065744,-0.000066847263,3.333817356252
0.003789449863,7.559029285207,6.874082677449,0.715013572811,0.002818746435,-0.078075120611,0.145478873700,0.201075973666,6.187998837856,0.078075120611,1.106073376244,-0.281219676012,0.003215714045,-0.000081147921,3.686073667355
