y	y+	Umean	dUmean/dy	Wmean	Pmean	dissip	produc	R_uu	R_vv	R_ww	R_uv	R_uw	R_vw	k
0.007191609	14.34550806	10.38218446	710.8679224	0.004295701	-0.298919054	0.133255858	0.226818589	8.561670353	0.298919054	1.783372492	-0.636472113	0.005381344	-0.000272735	5.32198095
0.0076931	15.34586077	10.72139784	643.3668828	0.004431917	-0.335754365	0.130199227	0.216031931	8.577221749	0.335754365	1.851963996	-0.669805796	0.005509184	-0.000305328	5.382470055
0.008211503	16.37994732	11.03866894	582.0076767	0.004555598	-0.373851745	0.126831238	0.204250587	8.55050556	0.373851745	1.916078157	-0.700042261	0.005617369	-0.000337493	5.420217731
0.008746808	17.44775007	11.33504249	526.548608	0.004666677	-0.412908902	0.123216774	0.191983498	8.488557966	0.412908902	1.975625716	-0.727302524	0.005710339	-0.000368102	5.438546292
0.009299006	18.54925084	11.61170687	476.6470361	0.004765165	-0.452620232	0.119416937	0.179632668	8.397918182	0.452620232	2.030586565	-0.751758058	0.005791787	-0.000396349	5.44056249
0.009868088	19.68443085	11.86992858	431.9001765	0.00485115	-0.492684904	0.115487377	0.167500476	8.284517199	0.492684904	2.081002445	-0.773610478	0.005864418	-0.000421622	5.429102274
0.010454044	20.85327075	12.11100103	391.8767628	0.004924819	-0.532813836	0.111477064	0.155802551	8.153633566	0.532813836	2.126970182	-0.793075883	0.005929359	-0.000443238	5.406708792
0.011056864	22.05575062	12.33620645	356.140828	0.004986499	-0.572735381	0.107427211	0.14468285	8.009892048	0.572735381	2.168635665	-0.810373067	0.005986933	-0.000460452	5.375631547
0.011676539	23.29184998	12.54678897	324.2686513	0.005036684	-0.612199645	0.103372087	0.134228691	7.85728497	0.612199645	2.206185191	-0.825714893	0.006038459	-0.000472881	5.337834903
0.012313056	24.56154774	12.74393699	295.8599365	0.005076018	-0.650981503	0.099341612	0.124484377	7.699206186	0.650981503	2.23983329	-0.839302348	0.006086144	-0.00048096	5.295010489
0.012966407	25.86482229	12.92877283	270.5443709	0.005105199	-0.688882394	0.09536237	0.115462808	7.538496778	0.688882394	2.269810449	-0.851321074	0.006130565	-0.000485989	5.24859481
0.013636578	27.2016514	13.10234791	247.9847235	0.005124877	-0.725731066	0.091457034	0.10715492	7.377497559	0.725731066	2.296353021	-0.861939884	0.006170936	-0.00048974	5.199790823
0.01432356	28.57201229	13.26564171	227.877214	0.005135587	-0.761383412	0.087645225	0.099536887	7.218101614	0.761383412	2.319694956	-0.871310519	0.006207066	-0.000493836	5.149589991
0.01502734	29.97588161	13.41956314	209.9498203	0.00513777	-0.795721577	0.083943444	0.092575354	7.061810918	0.795721577	2.340061396	-0.879568535	0.006238779	-0.00049944	5.098796945
0.015747906	31.41323543	13.56495289	193.9591584	0.005131865	-0.828652577	0.080364828	0.086231004	6.909794666	0.828652577	2.357664107	-0.8868353	0.006267249	-0.000507275	5.048055675
0.016485246	32.88404926	13.70258577	179.6869368	0.005118462	-0.860106565	0.076919348	0.08046097	6.762942921	0.860106565	2.372698642	-0.893220298	0.006296909	-0.00051741	4.997874064
0.017239347	34.38829803	13.83317296	166.9372699	0.005098417	-0.890034865	0.073613552	0.075220722	6.621912781	0.890034865	2.385344408	-0.898822683	0.006333223	-0.000529262	4.948646027
0.018010197	35.9259561	13.95736472	155.5353649	0.005072805	-0.91840784	0.070451268	0.070465895	6.487164931	0.91840784	2.395768968	-0.903731999	0.006380286	-0.000542434	4.900670869
0.018797783	37.49699727	14.07575422	145.3268945	0.005042693	-0.945212674	0.067433769	0.066153898	6.358995054	0.945212674	2.404132752	-0.908028109	0.006441267	-0.000557176	4.85417024
0.01960209	39.10139477	14.18888229	136.1760708	0.005009015	-0.970451268	0.064560227	0.062244565	6.237560726	0.970451268	2.410586944	-0.911780922	0.006517652	-0.000573589	4.809299469
0.020423106	40.73912125	14.29724143	127.9620338	0.004972628	-0.994138334	0.061829128	0.058699801	6.12290073	0.994138334	2.415271875	-0.915051172	0.006607405	-0.000590594	4.76615547
0.021260816	42.41014881	14.40127844	120.5764213	0.004934358	-1.016299599	0.059237716	0.055483575	6.014956718	1.016299599	2.41832045	-0.917892754	0.006705603	-0.000606274	4.724788383
0.022115206	44.11444895	14.50139746	113.9237649	0.004895028	-1.036970048	0.056781754	0.052562889	5.913596352	1.036970048	2.419859042	-0.920353762	0.006803943	-0.000619374	4.685212721
0.022986262	45.85199265	14.59796414	107.9204148	0.004855431	-1.056192283	0.05445633	0.049907869	5.818628854	1.056192283	2.420007229	-0.922476485	0.006889929	-0.000630045	4.647414183
0.023873968	47.62275028	14.69130865	102.4913174	0.004816256	-1.074015064	0.052256023	0.04749083	5.729824451	1.074015064	2.418875604	-0.924299145	0.006952613	-0.00063911	4.61135756
0.02477831	49.42669167	14.7817275	97.56914012	0.004778069	-1.090492074	0.050174503	0.045286239	5.646933784	1.090492074	2.4165649	-0.925856375	0.006987975	-0.000647356	4.576995379
0.025699272	51.26378607	14.86948613	93.09481348	0.004741315	-1.105680846	0.048204766	0.043271185	5.569686384	1.105680846	2.413171813	-0.927177996	0.006997327	-0.000654573	4.544269521
0.026636838	53.13400218	14.95482223	89.01674302	0.004706391	-1.11964183	0.04634107	0.041425233	5.497785307	1.11964183	2.408789118	-0.928288649	0.006984047	-0.000659213	4.513108128
0.027590992	55.03730812	15.03794835	85.2893017	0.004673711	-1.132437521	0.044578727	0.039729964	5.430923732	1.132437521	2.403501374	-0.92920885	0.00695468	-0.000659561	4.483431313
0.028561719	56.97367147	15.1190541	81.87217975	0.004643737	-1.144131516	0.042911319	0.038168854	5.368803748	1.144131516	2.397391911	-0.929956092	0.006914793	-0.000655201	4.455163588
0.029549001	58.9430592	15.19830849	78.73044002	0.004616901	-1.154787656	0.041332364	0.036727431	5.311129992	1.154787656	2.390543893	-0.930545295	0.006861075	-0.000647145	4.428230771
0.030552823	60.94543777	15.27586278	75.8343181	0.004593292	-1.164469361	0.039837432	0.035393279	5.257601583	1.164469361	2.38303174	-0.930989209	0.006784657	-0.000636327	4.402551342
0.031573165	62.98077305	15.35185298	73.15776834	0.00457265	-1.173239009	0.038420567	0.034155476	5.20792252	1.173239009	2.374920534	-0.931299823	0.00668523	-0.000622237	4.378041031
0.032610012	65.04903035	15.42640105	70.67722535	0.004554751	-1.181157305	0.037077245	0.033004119	5.161802833	1.181157305	2.366264862	-0.931490138	0.006575646	-0.000604363	4.3546125
0.033663346	67.15017443	15.49961567	68.37117132	0.004539659	-1.188282818	0.035802536	0.031930124	5.118965218	1.188282818	2.357120795	-0.931573599	0.006468242	-0.000583061	4.332184416
0.034733148	69.28416947	15.57159253	66.21949628	0.00452763	-1.194671774	0.034591657	0.030924902	5.079150084	1.194671774	2.34755133	-0.931562584	0.006370638	-0.000558598	4.310686594
0.035819401	71.4509791	15.64241455	64.20380678	0.00451873	-1.200378009	0.033440694	0.029980536	5.042129118	1.200378009	2.33761279	-0.931468559	0.006287642	-0.000531202	4.290059958
0.036922086	73.65056641	15.71215351	62.30955957	0.004512537	-1.205452926	0.032345624	0.029090818	5.00769829	1.205452926	2.327353262	-0.931302713	0.006223023	-0.00050325	4.270252239
0.038041184	75.88289389	15.780874	60.52672654	0.004508395	-1.209945426	0.03130348	0.028251495	4.975649296	1.209945426	2.316817311	-0.931073414	0.006173806	-0.00047743	4.251206016
0.039176676	78.14792352	15.84863622	58.84680259	0.004505955	-1.213901762	0.03031144	0.027458875	4.945770287	1.213901762	2.306047327	-0.930785496	0.006128103	-0.000453967	4.232859688
0.040328542	80.44561668	15.91549592	57.26125073	0.004505189	-1.217365373	0.029366547	0.026709167	4.917859183	1.217365373	2.295082324	-0.930441908	0.006076858	-0.000431774	4.21515344
0.041496764	82.77593423	15.98150367	55.76123857	0.004505839	-1.220376812	0.02846534	0.025998392	4.891733525	1.220376812	2.283960604	-0.930044689	0.006017751	-0.000409645	4.19803547
0.042681321	85.13883643	16.04670387	54.33779015	0.0045072	-1.222973836	0.027604669	0.025322508	4.867237642	1.222973836	2.272716064	-0.929596477	0.005953089	-0.000385952	4.181463771
0.043882192	87.53428304	16.11113485	52.98315673	0.004508509	-1.225191559	0.026782188	0.024678047	4.844237935	1.225191559	2.261378224	-0.929100453	0.005886871	-0.000359702	4.165403859
0.045099359	89.96223321	16.17482978	51.6905024	0.004509291	-1.227062554	0.025995256	0.024061937	4.822608357	1.227062554	2.249977514	-0.928559035	0.005822096	-0.000331869	4.149824213
0.046332799	92.42264558	16.23781716	50.45409224	0.004509588	-1.228616985	0.025241901	0.023471604	4.80222122	1.228616985	2.238541753	-0.927974506	0.005759476	-0.000303491	4.134689979
0.047582491	94.91547821	16.30012293	49.27091586	0.004510047	-1.229882697	0.024520794	0.0229057	4.782943751	1.229882697	2.227095359	-0.927347692	0.005697376	-0.000273708	4.119960904
0.048848416	97.44068862	16.36177275	48.13857118	0.004511658	-1.230885173	0.023830328	0.0223631	4.764652806	1.230885173	2.215654507	-0.926677228	0.005632654	-0.000240139	4.105596243
0.05013055	99.99823377	16.42279079	47.05325846	0.00451542	-1.231647622	0.023168807	0.021842077	4.747246322	1.231647622	2.204226796	-0.925963616	0.005565968	-0.000202298	4.09156037
0.051428872	102.5880701	16.48319956	46.01301033	0.004521969	-1.232191236	0.022534347	0.021341782	4.730631121	1.232191236	2.192818526	-0.925208774	0.005501317	-0.000164129	4.077820442
0.05274336	105.2101534	16.54302196	45.01594755	0.004531389	-1.232535489	0.021925469	0.02086136	4.714717297	1.232535489	2.181441149	-0.92441281	0.005445456	-0.000131438	4.064346968
0.054073991	107.8644391	16.60227853	44.05728294	0.004543495	-1.232698373	0.021340494	0.020398615	4.69942358	1.232698373	2.17011424	-0.923576168	0.005403032	-0.000107336	4.051118096
0.055420744	110.5508818	16.66098529	43.13265367	0.004558001	-1.232696525	0.020777983	0.019951574	4.68467962	1.232696525	2.158855982	-0.922700419	0.005368999	-9.32539E-05	4.038116063
0.056783594	113.2694359	16.71915519	42.23918984	0.004574652	-1.232545294	0.020237262	0.019518994	4.670424777	1.232545294	2.147675539	-0.92178915	0.005333871	-8.89073E-05	4.025322805
