y	y+	dissip	produc	p-strain	p-diff	t-diff	v-diff	bal
5.07100E-01	9.03270E+01	1.62160E-02	1.38560E-02	0.00000E+00	-1.17530E-04	1.95260E-03	1.69210E-05	-4.96980E-04
5.28600E-01	9.41570E+01	1.51380E-02	1.27240E-02	0.00000E+00	-1.54880E-04	2.17580E-03	5.53250E-05	-3.48470E-04
5.50390E-01	9.80370E+01	1.41130E-02	1.16050E-02	0.00000E+00	-2.71920E-04	2.43130E-03	9.60350E-05	-2.42040E-04
5.72440E-01	1.01970E+02	1.31100E-02	1.04940E-02	0.00000E+00	-4.13500E-04	2.79170E-03	7.49720E-05	-1.71990E-04
5.94760E-01	1.05940E+02	1.21770E-02	9.43980E-03	0.00000E+00	-6.21950E-04	3.26130E-03	5.63960E-05	-3.26610E-05
6.17320E-01	1.09960E+02	1.13450E-02	8.47960E-03	0.00000E+00	-7.97180E-04	3.70950E-03	7.28240E-05	1.12220E-04
6.40100E-01	1.14020E+02	1.05920E-02	7.59560E-03	0.00000E+00	-1.03410E-03	4.08640E-03	1.22680E-04	1.85890E-04
6.63110E-01	1.18120E+02	9.88590E-03	6.76220E-03	0.00000E+00	-1.18820E-03	4.44500E-03	1.20440E-04	2.47210E-04
6.86320E-01	1.22250E+02	9.23330E-03	5.97840E-03	0.00000E+00	-1.25310E-03	4.76830E-03	9.39930E-05	3.60030E-04
7.09720E-01	1.26420E+02	8.64660E-03	5.23380E-03	0.00000E+00	-1.22910E-03	4.99460E-03	1.08050E-04	4.54650E-04
7.33290E-01	1.30620E+02	8.11960E-03	4.51710E-03	0.00000E+00	-1.20610E-03	5.20040E-03	1.40550E-04	5.39180E-04
7.57020E-01	1.34840E+02	7.63570E-03	3.82750E-03	0.00000E+00	-1.14810E-03	5.36260E-03	1.85170E-04	5.83770E-04
7.80900E-01	1.39100E+02	7.18160E-03	3.16460E-03	0.00000E+00	-1.08470E-03	5.44150E-03	2.09110E-04	5.56610E-04
8.04910E-01	1.43370E+02	6.77480E-03	2.54480E-03	0.00000E+00	-9.65560E-04	5.48670E-03	2.13570E-04	4.97060E-04
8.29040E-01	1.47670E+02	6.42670E-03	1.98260E-03	0.00000E+00	-8.68950E-04	5.58580E-03	2.37150E-04	5.16880E-04
8.53270E-01	1.51990E+02	6.13370E-03	1.48370E-03	0.00000E+00	-7.82560E-04	5.66220E-03	2.72890E-04	4.95550E-04
8.77590E-01	1.56320E+02	5.87980E-03	1.05140E-03	0.00000E+00	-6.98240E-04	5.65750E-03	2.78750E-04	4.16400E-04
9.01980E-01	1.60660E+02	5.66160E-03	6.84120E-04	0.00000E+00	-6.04070E-04	5.57570E-03	2.78250E-04	2.65010E-04
9.26440E-01	1.65020E+02	5.50160E-03	3.88010E-04	0.00000E+00	-5.12260E-04	5.47200E-03	2.92290E-04	1.45850E-04
9.50930E-01	1.69380E+02	5.39300E-03	1.72920E-04	0.00000E+00	-4.08420E-04	5.42130E-03	2.95680E-04	8.05220E-05
9.75460E-01	1.73750E+02	5.32550E-03	4.52010E-05	0.00000E+00	-3.61290E-04	5.44250E-03	2.78780E-04	8.75020E-05
1.00000E+00	1.78120E+02	5.30480E-03	3.66150E-06	0.00000E+00	-3.28260E-04	5.45640E-03	2.79430E-04	9.83640E-05
