y	y+	Umean	dUmean/dy	Wmean	Pmean	
1.02521189E-02	5.31664341E+01	1.49417276E+01	2.32489479E+02	-2.44402344E-03	-1.14139586E+00	
1.05537502E-02	5.47306629E+01	1.50106211E+01	2.24433087E+02	-2.45178168E-03	-1.15248366E+00	
1.08593117E-02	5.63152737E+01	1.50780385E+01	2.16941202E+02	-2.45884947E-03	-1.16282108E+00	
1.11688023E-02	5.79202600E+01	1.51440845E+01	2.09959086E+02	-2.46514632E-03	-1.17244701E+00	
1.14822207E-02	5.95456155E+01	1.52088541E+01	2.03437875E+02	-2.47061715E-03	-1.18139968E+00	
1.17995656E-02	6.11913338E+01	1.52724330E+01	1.97333908E+02	-2.47525820E-03	-1.18971646E+00	
1.21208359E-02	6.28574083E+01	1.53348993E+01	1.91608154E+02	-2.47914435E-03	-1.19743366E+00	
1.24460302E-02	6.45438324E+01	1.53963234E+01	1.86225845E+02	-2.48240435E-03	-1.20458648E+00	
1.27751472E-02	6.62505994E+01	1.54567693E+01	1.81155956E+02	-2.48514944E-03	-1.21120881E+00	
1.31081856E-02	6.79777025E+01	1.55162953E+01	1.76370590E+02	-2.48743060E-03	-1.21733309E+00	
1.34451442E-02	6.97251349E+01	1.55749539E+01	1.71844545E+02	-2.48926763E-03	-1.22299025E+00	
1.37860215E-02	7.14928895E+01	1.56327929E+01	1.67555175E+02	-2.49070706E-03	-1.22820978E+00	
1.41308162E-02	7.32809595E+01	1.56898556E+01	1.63482295E+02	-2.49183754E-03	-1.23301997E+00	
1.44795270E-02	7.50893377E+01	1.57461814E+01	1.59607970E+02	-2.49275282E-03	-1.23744792E+00	
1.48321524E-02	7.69180169E+01	1.58018059E+01	1.55916267E+02	-2.49352149E-03	-1.24151934E+00	
1.51886911E-02	7.87669898E+01	1.58567621E+01	1.52392853E+02	-2.49421901E-03	-1.24525845E+00	
1.55491416E-02	8.06362492E+01	1.59110795E+01	1.49024771E+02	-2.49497545E-03	-1.24868807E+00	
1.59135025E-02	8.25257875E+01	1.59647857E+01	1.45800368E+02	-2.49599309E-03	-1.25182975E+00	
1.62817724E-02	8.44355973E+01	1.60179054E+01	1.42709079E+02	-2.49748871E-03	-1.25470396E+00	
1.66539498E-02	8.63656709E+01	1.60704616E+01	1.39741281E+02	-2.49957360E-03	-1.25733006E+00	
1.70300332E-02	8.83160008E+01	1.61224751E+01	1.36888293E+02	-2.50221465E-03	-1.25972605E+00	
1.74100212E-02	9.02865792E+01	1.61739651E+01	1.34142302E+02	-2.50529366E-03	-1.26190863E+00	
1.77939121E-02	9.22773982E+01	1.62249493E+01	1.31496282E+02	-2.50869093E-03	-1.26389348E+00	
1.81817046E-02	9.42884499E+01	1.62754439E+01	1.28943939E+02	-2.51231623E-03	-1.26569537E+00	
1.85733970E-02	9.63197264E+01	1.63254640E+01	1.26479525E+02	-2.51612318E-03	-1.26732808E+00	
1.89689878E-02	9.83712196E+01	1.63750236E+01	1.24097787E+02	-2.52015158E-03	-1.26880457E+00	
1.93684754E-02	1.00442921E+02	1.64241357E+01	1.21794020E+02	-2.52450702E-03	-1.27013709E+00	
1.97718582E-02	1.02534823E+02	1.64728124E+01	1.19563979E+02	-2.52928605E-03	-1.27133692E+00	
2.01791347E-02	1.04646917E+02	1.65210651E+01	1.17403706E+02	-2.53453879E-03	-1.27241419E+00	
2.05903032E-02	1.06779195E+02	1.65689044E+01	1.15309369E+02	-2.54027686E-03	-1.27337823E+00	
2.10053621E-02	1.08931648E+02	1.66163401E+01	1.13277341E+02	-2.54647545E-03	-1.27423778E+00	
2.14243098E-02	1.11104267E+02	1.66633814E+01	1.11304273E+02	-2.55307855E-03	-1.27500100E+00	
2.18471445E-02	1.13297044E+02	1.67100369E+01	1.09387157E+02	-2.55998526E-03	-1.27567531E+00	
2.22738646E-02	1.15509971E+02	1.67563145E+01	1.07523469E+02	-2.56709175E-03	-1.27626735E+00	
2.27044683E-02	1.17743038E+02	1.68022219E+01	1.05710880E+02	-2.57439578E-03	-1.27678294E+00	
2.31389541E-02	1.19996236E+02	1.68477663E+01	1.03947070E+02	-2.58194905E-03	-1.27722746E+00	
2.35773202E-02	1.22269557E+02	1.68929546E+01	1.02229966E+02	-2.58977857E-03	-1.27760626E+00	
2.40195647E-02	1.24562992E+02	1.69377933E+01	1.00557639E+02	-2.59794680E-03	-1.27792474E+00	
2.44656860E-02	1.26876531E+02	1.69822886E+01	9.89280779E+01	-2.60655420E-03	-1.27818814E+00	
2.49156823E-02	1.29210166E+02	1.70264464E+01	9.73394192E+01	-2.61563580E-03	-1.27840132E+00	
2.53695518E-02	1.31563887E+02	1.70702722E+01	9.57899785E+01	-2.62511842E-03	-1.27856876E+00	
