"GradU:0","GradU:1","GradU:2","GradU:3","GradU:4","GradU:5","GradU:6","GradU:7","GradU:8","Points:0","Points:1","Points:2","Vorticity:0","Vorticity:1","Vorticity:2","density","minimum_distance_to_wall","pressure","pressure_force_:0","pressure_force_:1","pressure_force_:2","specific_dissipation_rate","sst_f_one_blending","tau_wall","turbulent_ke","turbulent_viscosity","velocity_:0","velocity_:1","velocity_:2","viscous_force_:0","viscous_force_:1","viscous_force_:2","yplus"
1.46306e-09,37.488,0,1.80319e-10,-2.82624e-09,0,1.83604e-09,1.86342e-10,0,4,0.0925094,1.5,1.86342e-10,-1.83604e-09,-37.488,1,0.0925285,1.65787e-08,0,0,0,120.361,0.999998,0,2.66241,0.0220466,13.9586,-3.82498e-10,-3.01135e-10,0,0,0,0
8.64732e-10,33.9246,0,2.708e-10,-2.10545e-09,0,1.79925e-09,4.41798e-10,0,4,0.100405,1.5,4.41798e-10,-1.79925e-09,-33.9246,1,0.100427,1.66229e-08,0,0,0,109.056,0.999999,0,2.66565,0.0243903,14.2395,-4.02989e-10,-2.986e-10,0,0,0,0
-1.11274e-10,30.8265,0,3.68996e-10,-9.2929e-10,0,1.77146e-09,7.11903e-10,0,4,0.108734,1.5,7.11903e-10,-1.77146e-09,-30.8265,1,0.108759,1.6692e-08,0,0,0,99.1773,1,0,2.66368,0.0268199,14.5083,-4.16447e-10,-2.93915e-10,0,0,0,0
-1.29722e-09,28.1156,0,4.69033e-10,5.11556e-10,0,1.74825e-09,1.06203e-09,0,4,0.117514,1.5,1.06203e-09,-1.74825e-09,-28.1156,1,0.117542,1.67799e-08,0,0,0,90.4937,1,0,2.65706,0.0293312,14.7663,-4.18578e-10,-2.86353e-10,0,0,0,0
-2.4399e-09,25.7292,0,5.67538e-10,1.917e-09,0,1.72273e-09,1.51414e-09,0,4,0.126766,1.5,1.51414e-09,-1.72273e-09,-25.7292,1,0.126797,1.68686e-08,0,0,0,82.8188,1,0,2.64625,0.0319195,15.0147,-4.06866e-10,-2.7467e-10,0,0,0,0
-3.28926e-09,23.617,0,6.65093e-10,2.95779e-09,0,1.68693e-09,2.04253e-09,0,4,0.13651,1.5,2.04253e-09,-1.68693e-09,-23.617,1,0.136545,1.69301e-08,0,0,0,76.0008,1,0,2.6316,0.03458,15.2545,-3.81844e-10,-2.57467e-10,0,0,0,0
-3.66851e-09,21.7379,0,7.68205e-10,3.37504e-09,0,1.63433e-09,2.57966e-09,0,4,0.146765,1.5,2.57966e-09,-1.63433e-09,-21.7379,1,0.146804,1.69356e-08,0,0,0,69.9153,1,0,2.61337,0.0373073,15.4865,-3.47516e-10,-2.33681e-10,0,0,0,0
-3.50791e-09,20.0582,0,8.87355e-10,3.08338e-09,0,1.5616e-09,3.03632e-09,0,4,0.157552,1.5,3.03632e-09,-1.5616e-09,-20.0582,1,0.157595,1.68565e-08,0,0,0,64.4591,1,0,2.59177,0.0400957,15.7114,-3.10811e-10,-2.03048e-10,0,0,0,0
-2.88942e-09,18.5499,0,1.03302e-09,2.22377e-09,0,1.47019e-09,3.32506e-09,0,4,0.168891,1.5,3.32506e-09,-1.47019e-09,-18.5499,1,0.16894,1.66889e-08,0,0,0,59.5464,1,0,2.56696,0.042939,15.9299,-2.79468e-10,-1.66389e-10,0,0,0,0
-2.01211e-09,17.1899,0,1.2109e-09,1.11783e-09,0,1.36613e-09,3.3839e-09,0,4,0.180803,1.5,3.3839e-09,-1.36613e-09,-17.1899,1,0.180857,1.64384e-08,0,0,0,55.1051,1,0,2.53906,0.045831,16.1423,-2.59415e-10,-1.25682e-10,0,0,0,0
-1.12091e-09,15.958,0,1.41527e-09,1.33302e-10,0,1.25833e-09,3.19837e-09,0,4,0.193308,1.5,3.19837e-09,-1.25833e-09,-15.958,1,0.193367,1.61318e-08,0,0,0,51.0741,1,0,2.50814,0.0487662,16.3492,-2.52509e-10,-8.37849e-11,0,0,0,0
-4.89276e-10,14.8369,0,1.63336e-09,-4.63765e-10,0,1.15585e-09,2.80586e-09,0,4,0.206425,1.5,2.80586e-09,-1.15585e-09,-14.8369,1,0.20649,1.5783e-08,0,0,0,47.4017,1,0,2.47428,0.0517412,16.5508,-2.56256e-10,-4.38275e-11,0,0,0,0
-2.29302e-10,13.8111,0,1.85117e-09,-5.86258e-10,0,1.06474e-09,2.28617e-09,0,4,0.220174,1.5,2.28617e-09,-1.06474e-09,-13.8111,1,0.220246,1.54047e-08,0,0,0,44.0438,1,0,2.43751,0.0547568,16.7475,-2.65081e-10,-8.55442e-12,0,0,0,0
-3.00415e-10,12.8663,0,2.05685e-09,-3.49335e-10,0,9.8732e-10,1.73999e-09,0,4,0.234573,1.5,1.73999e-09,-9.8732e-10,-12.8663,1,0.234652,1.49819e-08,0,0,0,40.9631,1,0,2.39789,0.0578212,16.9393,-2.72722e-10,2.03423e-11,0,0,0,0
-5.44023e-10,11.9892,0,2.24717e-09,1.30598e-11,0,9.21875e-10,1.25883e-09,0,4,0.249641,1.5,1.25883e-09,-9.21875e-10,-11.9892,1,0.249727,1.4482e-08,0,0,0,38.1285,1,0,2.35547,0.0609522,17.1263,-2.75254e-10,4.25393e-11,0,0,0,0
-7.20771e-10,11.1684,0,2.42348e-09,2.8197e-10,0,8.63945e-10,9.04995e-10,0,4,0.265394,1.5,9.04995e-10,-8.63945e-10,-11.1684,1,0.265487,1.38733e-08,0,0,0,35.5143,1,0,2.31036,0.0641786,17.3085,-2.72195e-10,5.89933e-11,0,0,0,0
