y	y+	dissip	produc	p-strain	p-diff	t-diff	v-diff	bal	
0.00E+00	0.00E+00	2.31E-01	3.26E-32	0.00E+00	-3.57E-06	-3.26E-32	2.31E-01	0.00E+00	
7.53E-05	4.42E-02	2.30E-01	8.37E-08	0.00E+00	8.87E-04	1.45E-07	2.29E-01	-1.86E-04	
3.01E-04	1.77E-01	2.25E-01	5.42E-06	0.00E+00	3.35E-03	9.30E-06	2.22E-01	-2.04E-05	
6.78E-04	3.98E-01	2.18E-01	6.29E-05	0.00E+00	6.91E-03	1.06E-04	2.11E-01	-2.68E-05	
1.20E-03	7.07E-01	2.10E-01	3.61E-04	0.00E+00	1.08E-02	6.01E-04	1.98E-01	-1.85E-05	
1.88E-03	1.11E+00	2.02E-01	1.40E-03	0.00E+00	1.45E-02	2.27E-03	1.84E-01	-4.05E-05	
2.71E-03	1.59E+00	1.94E-01	4.25E-03	0.00E+00	1.72E-02	6.51E-03	1.66E-01	-7.69E-05	
3.69E-03	2.17E+00	1.85E-01	1.07E-02	0.00E+00	1.88E-02	1.49E-02	1.41E-01	-1.36E-04	
4.82E-03	2.83E+00	1.75E-01	2.30E-02	0.00E+00	1.93E-02	2.74E-02	1.05E-01	-2.00E-04	
6.09E-03	3.58E+00	1.64E-01	4.36E-02	0.00E+00	1.88E-02	4.13E-02	6.01E-02	-2.71E-04	
7.52E-03	4.42E+00	1.53E-01	7.32E-02	0.00E+00	1.76E-02	5.05E-02	1.11E-02	-3.27E-04	
9.10E-03	5.34E+00	1.43E-01	1.10E-01	0.00E+00	1.60E-02	4.90E-02	-3.23E-02	-3.50E-04	
1.08E-02	6.36E+00	1.37E-01	1.51E-01	0.00E+00	1.39E-02	3.46E-02	-6.21E-02	-2.81E-04	
1.27E-02	7.46E+00	1.35E-01	1.88E-01	0.00E+00	1.16E-02	1.05E-02	-7.56E-02	-1.34E-04	
1.47E-02	8.64E+00	1.34E-01	2.17E-01	0.00E+00	9.13E-03	-1.68E-02	-7.52E-02	4.77E-05	
1.69E-02	9.92E+00	1.35E-01	2.35E-01	0.00E+00	6.55E-03	-4.08E-02	-6.59E-02	1.94E-04	
1.92E-02	1.13E+01	1.34E-01	2.40E-01	0.00E+00	4.06E-03	-5.73E-02	-5.29E-02	3.13E-04	
2.17E-02	1.27E+01	1.32E-01	2.35E-01	0.00E+00	1.85E-03	-6.52E-02	-3.97E-02	3.82E-04	
2.43E-02	1.43E+01	1.29E-01	2.23E-01	0.00E+00	6.25E-05	-6.56E-02	-2.83E-02	4.21E-04	
2.71E-02	1.59E+01	1.24E-01	2.06E-01	0.00E+00	-1.19E-03	-6.08E-02	-1.92E-02	3.99E-04	
3.00E-02	1.76E+01	1.19E-01	1.87E-01	0.00E+00	-1.92E-03	-5.30E-02	-1.24E-02	3.53E-04	
3.30E-02	1.94E+01	1.13E-01	1.67E-01	0.00E+00	-2.17E-03	-4.39E-02	-7.60E-03	3.19E-04	
3.62E-02	2.13E+01	1.07E-01	1.48E-01	0.00E+00	-2.07E-03	-3.49E-02	-4.31E-03	3.05E-04	
3.96E-02	2.32E+01	1.00E-01	1.31E-01	0.00E+00	-1.72E-03	-2.67E-02	-2.07E-03	2.58E-04	
4.31E-02	2.53E+01	9.41E-02	1.16E-01	0.00E+00	-1.27E-03	-1.97E-02	-5.14E-04	2.02E-04	
4.67E-02	2.74E+01	8.79E-02	1.02E-01	0.00E+00	-8.06E-04	-1.39E-02	4.44E-04	1.74E-04	
5.05E-02	2.96E+01	8.19E-02	9.06E-02	0.00E+00	-4.06E-04	-9.12E-03	9.44E-04	1.78E-04	
5.44E-02	3.19E+01	7.62E-02	8.06E-02	0.00E+00	-6.51E-05	-5.30E-03	1.15E-03	1.89E-04	
5.85E-02	3.43E+01	7.08E-02	7.19E-02	0.00E+00	2.19E-04	-2.38E-03	1.22E-03	1.76E-04	
6.27E-02	3.68E+01	6.58E-02	6.45E-02	0.00E+00	5.15E-04	-2.33E-04	1.19E-03	1.69E-04	
6.70E-02	3.93E+01	6.12E-02	5.82E-02	0.00E+00	7.55E-04	1.32E-03	1.10E-03	1.53E-04	
7.15E-02	4.20E+01	5.70E-02	5.28E-02	0.00E+00	9.46E-04	2.36E-03	1.01E-03	1.21E-04	
7.61E-02	4.47E+01	5.31E-02	4.81E-02	0.00E+00	1.03E-03	3.11E-03	8.82E-04	1.01E-04	
8.09E-02	4.75E+01	4.95E-02	4.42E-02	0.00E+00	1.04E-03	3.61E-03	7.58E-04	1.25E-04	
8.58E-02	5.04E+01	4.62E-02	4.08E-02	0.00E+00	9.42E-04	3.96E-03	6.89E-04	1.81E-04	
9.08E-02	5.33E+01	4.33E-02	3.79E-02	0.00E+00	8.12E-04	4.18E-03	6.30E-04	2.76E-04	
9.60E-02	5.64E+01	4.06E-02	3.54E-02	0.00E+00	6.83E-04	4.19E-03	5.62E-04	2.76E-04	
1.01E-01	5.95E+01	3.81E-02	3.32E-02	0.00E+00	5.56E-04	4.01E-03	5.10E-04	1.96E-04	
1.07E-01	6.27E+01	3.58E-02	3.13E-02	0.00E+00	4.33E-04	3.75E-03	4.42E-04	5.13E-05	
1.12E-01	6.60E+01	3.38E-02	2.95E-02	0.00E+00	3.28E-04	3.48E-03	3.66E-04	-3.97E-05	
1.18E-01	6.93E+01	3.19E-02	2.80E-02	0.00E+00	2.61E-04	3.17E-03	3.00E-04	-1.10E-04	
1.24E-01	7.28E+01	3.01E-02	2.67E-02	0.00E+00	2.12E-04	2.82E-03	2.62E-04	-1.65E-04	
1.30E-01	7.63E+01	2.86E-02	2.55E-02	0.00E+00	1.39E-04	2.54E-03	2.27E-04	-1.81E-04	
1.36E-01	7.99E+01	2.71E-02	2.44E-02	0.00E+00	2.57E-05	2.35E-03	2.09E-04	-1.28E-04	
1.42E-01	8.35E+01	2.57E-02	2.34E-02	0.00E+00	-1.08E-04	2.21E-03	1.93E-04	-5.69E-05	
1.49E-01	8.73E+01	2.44E-02	2.24E-02	0.00E+00	-2.04E-04	2.21E-03	1.49E-04	1.21E-04	
1.55E-01	9.11E+01	2.32E-02	2.15E-02	0.00E+00	-3.05E-04	2.27E-03	1.21E-04	3.22E-04	
1.62E-01	9.50E+01	2.21E-02	2.05E-02	0.00E+00	-4.49E-04	2.26E-03	1.31E-04	3.91E-04	
1.69E-01	9.90E+01	2.11E-02	1.97E-02	0.00E+00	-6.06E-04	2.19E-03	1.18E-04	3.39E-04	
1.75E-01	1.03E+02	2.01E-02	1.89E-02	0.00E+00	-7.20E-04	2.10E-03	9.26E-05	2.83E-04	
1.82E-01	1.07E+02	1.92E-02	1.81E-02	0.00E+00	-7.83E-04	1.94E-03	1.04E-04	2.23E-04	
1.90E-01	1.11E+02	1.83E-02	1.74E-02	0.00E+00	-7.66E-04	1.72E-03	1.01E-04	1.64E-04	
1.97E-01	1.16E+02	1.75E-02	1.68E-02	0.00E+00	-6.84E-04	1.50E-03	7.06E-05	1.64E-04	
2.04E-01	1.20E+02	1.68E-02	1.62E-02	0.00E+00	-5.99E-04	1.25E-03	6.40E-05	1.35E-04	
2.12E-01	1.24E+02	1.61E-02	1.56E-02	0.00E+00	-5.62E-04	1.02E-03	6.73E-05	9.10E-05	
2.19E-01	1.29E+02	1.54E-02	1.51E-02	0.00E+00	-5.43E-04	9.16E-04	4.43E-05	6.60E-05	
2.27E-01	1.33E+02	1.48E-02	1.45E-02	0.00E+00	-5.33E-04	8.44E-04	1.39E-05	6.21E-05	
2.35E-01	1.38E+02	1.42E-02	1.40E-02	0.00E+00	-5.26E-04	8.03E-04	-1.39E-05	7.78E-05	
2.43E-01	1.43E+02	1.36E-02	1.35E-02	0.00E+00	-5.30E-04	8.00E-04	-6.45E-06	1.63E-04	
2.51E-01	1.47E+02	1.31E-02	1.31E-02	0.00E+00	-4.91E-04	7.04E-04	1.80E-05	1.87E-04	
2.59E-01	1.52E+02	1.26E-02	1.26E-02	0.00E+00	-4.43E-04	5.42E-04	3.12E-05	1.31E-04	
2.67E-01	1.57E+02	1.21E-02	1.22E-02	0.00E+00	-4.06E-04	4.30E-04	2.96E-05	9.36E-05	
2.76E-01	1.62E+02	1.17E-02	1.17E-02	0.00E+00	-4.04E-04	3.59E-04	1.76E-05	5.57E-05	
2.84E-01	1.67E+02	1.12E-02	1.14E-02	0.00E+00	-4.25E-04	2.96E-04	1.12E-05	8.27E-06	
2.93E-01	1.72E+02	1.08E-02	1.10E-02	0.00E+00	-4.41E-04	2.70E-04	1.29E-06	-5.89E-06	
3.02E-01	1.77E+02	1.04E-02	1.07E-02	0.00E+00	-4.38E-04	2.72E-04	2.41E-06	4.45E-05	
3.10E-01	1.82E+02	1.01E-02	1.03E-02	0.00E+00	-4.42E-04	2.51E-04	1.95E-05	6.68E-05	
3.19E-01	1.88E+02	9.71E-03	9.98E-03	0.00E+00	-4.53E-04	2.82E-04	1.42E-05	1.14E-04	
3.28E-01	1.93E+02	9.36E-03	9.65E-03	0.00E+00	-4.66E-04	3.35E-04	4.68E-06	1.58E-04	
3.38E-01	1.98E+02	9.05E-03	9.35E-03	0.00E+00	-4.55E-04	2.66E-04	8.94E-06	1.26E-04	
3.47E-01	2.04E+02	8.74E-03	9.07E-03	0.00E+00	-4.20E-04	1.25E-04	8.90E-06	4.03E-05	
3.56E-01	2.09E+02	8.44E-03	8.79E-03	0.00E+00	-3.59E-04	-1.31E-07	-6.72E-06	-1.31E-05	
3.66E-01	2.15E+02	8.16E-03	8.53E-03	0.00E+00	-2.76E-04	-1.10E-04	-2.32E-05	-4.43E-05	
3.75E-01	2.20E+02	7.89E-03	8.28E-03	0.00E+00	-2.18E-04	-1.33E-04	-1.68E-05	2.38E-05	
3.85E-01	2.26E+02	7.64E-03	8.03E-03	0.00E+00	-2.06E-04	-9.06E-05	-2.13E-06	9.45E-05	
3.94E-01	2.32E+02	7.39E-03	7.76E-03	0.00E+00	-2.42E-04	-3.60E-05	9.17E-06	1.03E-04	
4.04E-01	2.37E+02	7.15E-03	7.46E-03	0.00E+00	-2.58E-04	2.32E-05	1.24E-05	8.83E-05	
4.14E-01	2.43E+02	6.92E-03	7.15E-03	0.00E+00	-2.51E-04	7.68E-05	3.10E-06	6.28E-05	
4.24E-01	2.49E+02	6.70E-03	6.84E-03	0.00E+00	-2.09E-04	1.19E-04	4.49E-06	5.62E-05	
4.34E-01	2.55E+02	6.48E-03	6.55E-03	0.00E+00	-1.91E-04	1.59E-04	1.98E-07	3.73E-05	
4.44E-01	2.61E+02	6.26E-03	6.27E-03	0.00E+00	-1.77E-04	2.07E-04	-7.96E-06	2.54E-05	
4.55E-01	2.67E+02	6.05E-03	6.00E-03	0.00E+00	-1.97E-04	2.78E-04	-1.79E-06	3.06E-05	
4.65E-01	2.73E+02	5.84E-03	5.75E-03	0.00E+00	-2.15E-04	3.72E-04	-4.85E-06	6.22E-05	
