t,u,tke,sdr
4000.0,1.0901344867136435,0.030745106520578946,41.42880739018323
4000.3999999999905,1.000000029680541,0.030662956500361847,41.347565471759324
4000.799999999981,1.000000070261966,0.030492307853501616,41.32517183235068
4001.1999999999716,1.000000671266978,0.03035566055774667,41.308895822682395
4001.599999999962,1.0000010046283738,0.030228866000501585,41.296898645230264
4001.9999999999527,1.0000011051717468,0.03010998556587933,41.2874821462309
4002.3999999999432,1.0000011278720669,0.030000652794170527,41.279798663400655
4002.799999999934,1.0000011588629931,0.02990235718439396,41.27359204828227
4003.1999999999243,1.0000012247775667,0.029815002807320832,41.26867768100887
4003.599999999915,1.0000013283997837,0.02973787376262582,41.26485856200756
4003.9999999999054,1.0000014685208514,0.029670161972863544,41.26193566627943
4004.399999999896,1.0000016424217788,0.029611075729093366,41.2597414891199
4004.7999999998865,1.0000018450152914,0.02955959984769125,41.258130072394536
4005.199999999877,1.0000020727667234,0.02951421860590113,41.256975613788114
4005.5999999998676,1.0000023250348098,0.029472726419106955,41.256167631720565
4005.999999999858,1.0000025974170004,0.0294321274588745,41.25560998462592
4006.3999999998487,1.0000028784828228,0.029388482807108336,41.25519807073591
4006.799999999839,1.0000031537517113,0.029336736369414383,41.25480928651817
4007.1999999998297,1.0000034052988476,0.029270560472371063,41.25428634441168
4007.5999999998203,1.000003592148063,0.029182157281909208,41.253432528314974
4007.999999999811,1.0000036508727232,0.029061865599664262,41.25204254048921
4008.3999999998014,1.0000035387539872,0.02889773423386502,41.249962650639866
4008.799999999792,1.0000032637792808,0.028676254986169252,41.24715416367844
4009.1999999997824,1.0000028574117703,0.028385468340479048,41.243769819456205
4009.599999999773,1.0000023474049278,0.0280197198096185,41.24022590836808
4009.9999999997635,1.0000017527262473,0.027582570552126894,41.23715356853218
4010.399999999754,1.0000010984561707,0.027086747585054038,41.23522403239341
4010.7999999997446,1.0000004134094262,0.026551234345056594,41.234950917361076
4011.199999999735,0.9999997324340664,0.025995472958751875,41.23646933439793
4011.5999999997257,0.9999990899084561,0.025430095804739965,41.23917219967838
4011.9999999997162,0.9999985417787206,0.024845303867080032,41.24159627494723
4012.399999999707,0.9999981750409046,0.024204926351354506,41.24183207615368
4012.7999999996973,0.9999980429529469,0.023453269050533992,41.238398530556786
4013.199999999688,0.9999981348737714,0.02254181144176389,41.23011768064807
4013.5999999996784,0.9999983978562346,0.02146143501289746,41.216222104794234
4013.999999999669,0.999998732761986,0.020257121174505077,41.196173855948985
4014.3999999996595,0.9999992463479138,0.019023669616895562,41.16952060785399
4014.79999999965,1.0000002731290276,0.01787215840756339,41.13709934674615
4015.1999999996406,1.0000020698630658,0.0168864663257489,41.10210570072423
4015.599999999631,1.0000042746285607,0.016109017328159808,41.069981624681105
4015.9999999996217,1.0000052349603985,0.015549441613882494,41.04508795985513
4016.399999999612,1.000002744794588,0.015183196825921908,41.02786997745187
4016.7999999996027,0.9999976300353799,0.014958668102590741,41.01647690321151
4017.1999999995933,0.999994382387587,0.01485809718636936,41.0124356603872
4017.599999999584,0.9999949064472864,0.014956701279579187,41.022222646101994
4017.9999999995744,0.9999948972291614,0.015492773151093906,41.05310140873521
4018.399999999565,0.9999980337928597,0.01652588429969147,41.10671928505134
4018.7999999995554,1.0000100120003945,0.01786157910299847,41.19390336739229
4019.199999999546,1.0000203802594703,0.01917569278426592,41.30981737720642
4019.5999999995365,1.0000183342207472,0.020152082841928525,41.43249826003323
4019.999999999527,1.0000129027509637,0.020586651081935404,41.466077073104934
4020.3999999995176,1.0000079827923471,0.02059733625029192,41.452333963255164
4020.799999999508,1.0000040486917632,0.020358544910898287,41.4303165477642
4021.1999999994987,1.0000012086442527,0.019985303700248105,41.40397953636757
4021.5999999994892,0.999999179072259,0.019543070398857883,41.37770160987887
4021.9999999994798,0.9999973263179393,0.019069801875771872,41.35269994649624
4022.3999999994703,0.9999953378616462,0.018588526756425163,41.33005710686221
4022.799999999461,0.9999934336433892,0.018114800102714074,41.31083806535785
4023.1999999994514,0.999991898990582,0.0176609613985122,41.29561519307224
4023.599999999442,0.9999907998112249,0.017238566031988478,41.28443713237665
4023.9999999994325,0.999989995735298,0.016859716004973827,41.27681072816393
4024.399999999423,0.9999892411832328,0.01653707370654221,41.27214883204932
4024.7999999994136,0.9999883098112244,0.016283335636404,41.26985566458165
4025.199999999404,0.9999870703032102,0.01611086488461907,41.269486361212635
4025.5999999993946,0.9999854651757303,0.016030470379980302,41.270920326618516
4025.999999999385,0.9999835047389977,0.016049001725322334,41.274095957447805
4026.3999999993757,0.9999812869188957,0.016166885007372775,41.2788871295368
4026.7999999993663,0.9999790232748441,0.016377693955467093,41.28506137141541
4027.199999999357,0.9999770325639049,0.016671120431031493,41.29286132111068
4027.5999999993473,0.9999756752243559,0.017039849286277792,41.30339538699836
4027.999999999338,0.9999753857799061,0.0174692042571579,41.31851480050083
4028.3999999993284,0.9999767620614242,0.017877708681632618,41.33826829740953
4028.799999999319,0.999980420122433,0.01806311067809851,41.357920401716434
4029.1999999993095,0.9999871250266281,0.01777061674096281,41.37061877400036
4029.5999999993,0.9999979620945044,0.016840819337222753,41.37321084976325
4029.9999999992906,1.0000142778402041,0.015293196042453262,41.3641628197792
4030.399999999281,1.0000358652914003,0.013372227168848255,41.33667390193229
4030.7999999992717,1.000059425542308,0.011480473786265735,41.281357797010465
4031.199999999262,1.0000816422269316,0.009998137702930295,41.20392101162077
4031.5999999992528,1.0000987487274393,0.009077336515543181,41.13080361107351
4031.9999999992433,1.0001069578784674,0.008583575954150779,41.07749236440424
