y	y+	dissip	produc	p-strain	p-diff	t-diff	v-diff	bal	
1.29910E-01	5.09580E+01	4.43280E-02	3.86910E-02	0.00000E+00	1.11660E-03	4.63400E-03	7.58590E-04	8.70640E-04	
1.36030E-01	5.33560E+01	4.20220E-02	3.66390E-02	0.00000E+00	1.13970E-03	4.64350E-03	5.92390E-04	9.94540E-04	
1.42270E-01	5.58050E+01	3.99160E-02	3.48130E-02	0.00000E+00	1.11030E-03	4.41560E-03	5.55770E-04	9.77800E-04	
1.48640E-01	5.83050E+01	3.79700E-02	3.31500E-02	0.00000E+00	1.03040E-03	3.91560E-03	5.93590E-04	7.19560E-04	
1.55150E-01	6.08550E+01	3.61170E-02	3.15980E-02	0.00000E+00	8.96630E-04	3.44900E-03	5.66420E-04	3.94010E-04	
1.61780E-01	6.34560E+01	3.43750E-02	3.01570E-02	0.00000E+00	7.35560E-04	3.25780E-03	4.66070E-04	2.40710E-04	
1.68530E-01	6.61050E+01	3.27580E-02	2.88310E-02	0.00000E+00	5.29060E-04	3.29810E-03	4.06340E-04	3.07100E-04	
1.75410E-01	6.88040E+01	3.12530E-02	2.76070E-02	0.00000E+00	2.93790E-04	3.53130E-03	3.39570E-04	5.18920E-04	
1.82420E-01	7.15510E+01	2.98600E-02	2.64640E-02	0.00000E+00	3.94260E-05	3.78980E-03	3.07000E-04	7.40070E-04	
1.89540E-01	7.43470E+01	2.85380E-02	2.53680E-02	0.00000E+00	-1.67060E-04	4.01610E-03	2.26760E-04	9.05640E-04	
1.96790E-01	7.71910E+01	2.72950E-02	2.43120E-02	0.00000E+00	-3.01710E-04	3.93420E-03	2.09880E-04	8.58610E-04	
2.04160E-01	8.00820E+01	2.60980E-02	2.33150E-02	0.00000E+00	-3.33710E-04	3.58530E-03	1.56960E-04	6.27660E-04	
2.11650E-01	8.30200E+01	2.49520E-02	2.24290E-02	0.00000E+00	-3.39930E-04	3.24100E-03	7.69420E-05	4.51480E-04	
2.19260E-01	8.60050E+01	2.38820E-02	2.16610E-02	0.00000E+00	-3.77230E-04	2.87190E-03	4.83710E-05	3.24640E-04	
2.26990E-01	8.90350E+01	2.28720E-02	2.09660E-02	0.00000E+00	-4.48460E-04	2.57140E-03	5.38440E-05	2.69280E-04	
2.34830E-01	9.21120E+01	2.19400E-02	2.03040E-02	0.00000E+00	-5.50280E-04	2.30010E-03	7.31460E-05	1.88010E-04	
2.42790E-01	9.52340E+01	2.10610E-02	1.96790E-02	0.00000E+00	-6.22310E-04	2.03040E-03	8.12640E-05	1.06220E-04	
2.50860E-01	9.84000E+01	2.02250E-02	1.90920E-02	0.00000E+00	-6.21190E-04	1.82930E-03	8.18850E-05	1.55970E-04	
2.59050E-01	1.01610E+02	1.94290E-02	1.85170E-02	0.00000E+00	-5.70700E-04	1.63910E-03	8.94220E-05	2.46580E-04	
2.67350E-01	1.04860E+02	1.86650E-02	1.79370E-02	0.00000E+00	-5.14050E-04	1.39320E-03	3.47770E-05	1.86150E-04	
2.75750E-01	1.08160E+02	1.79560E-02	1.73750E-02	0.00000E+00	-4.93150E-04	1.16630E-03	-7.03220E-06	8.50450E-05	
2.84270E-01	1.11500E+02	1.72980E-02	1.68450E-02	0.00000E+00	-4.88950E-04	9.88460E-04	-1.35170E-05	3.34770E-05	
2.92890E-01	1.14890E+02	1.66840E-02	1.63270E-02	0.00000E+00	-4.76730E-04	7.55500E-04	3.10670E-05	-4.84610E-05	
3.01620E-01	1.18310E+02	1.61050E-02	1.57740E-02	0.00000E+00	-4.29700E-04	3.57440E-04	1.15860E-04	-2.86370E-04	
3.10460E-01	1.21780E+02	1.55280E-02	1.52000E-02	0.00000E+00	-3.61340E-04	-8.11200E-05	1.23040E-04	-6.48180E-04	
3.19400E-01	1.25280E+02	1.49650E-02	1.46430E-02	0.00000E+00	-2.94020E-04	-2.69830E-04	7.17140E-05	-8.12580E-04	
3.28440E-01	1.28830E+02	1.44240E-02	1.41160E-02	0.00000E+00	-2.58560E-04	-2.20420E-04	4.99080E-05	-7.37350E-04	
3.37580E-01	1.32420E+02	1.38920E-02	1.36020E-02	0.00000E+00	-2.75740E-04	-6.12870E-05	2.76600E-05	-5.99290E-04	
3.46830E-01	1.36040E+02	1.33820E-02	1.31160E-02	0.00000E+00	-3.37120E-04	2.26940E-04	5.47060E-06	-3.69820E-04	
3.56170E-01	1.39710E+02	1.29220E-02	1.27060E-02	0.00000E+00	-4.19120E-04	5.34160E-04	-1.51680E-05	-1.16160E-04	
3.65610E-01	1.43410E+02	1.24920E-02	1.23720E-02	0.00000E+00	-4.95020E-04	7.63920E-04	-4.51180E-06	1.43830E-04	
3.75140E-01	1.47150E+02	1.20670E-02	1.20610E-02	0.00000E+00	-5.28100E-04	8.76390E-04	8.99230E-06	3.51440E-04	
3.84770E-01	1.50920E+02	1.16450E-02	1.17640E-02	0.00000E+00	-4.95100E-04	8.80400E-04	2.16940E-06	5.05070E-04	
3.94490E-01	1.54740E+02	1.12430E-02	1.14830E-02	0.00000E+00	-4.07460E-04	7.42640E-04	1.36260E-05	5.89070E-04	
4.04300E-01	1.58580E+02	1.08540E-02	1.12100E-02	0.00000E+00	-3.30850E-04	6.30000E-04	2.14480E-05	6.75790E-04	
4.14200E-01	1.62470E+02	1.04860E-02	1.09350E-02	0.00000E+00	-2.95980E-04	6.43140E-04	2.35800E-05	8.20600E-04	
4.24190E-01	1.66390E+02	1.01340E-02	1.06440E-02	0.00000E+00	-2.90060E-04	6.94320E-04	1.65740E-05	9.29970E-04	
4.34270E-01	1.70340E+02	9.79870E-03	1.03180E-02	0.00000E+00	-2.83740E-04	6.80460E-04	4.19940E-05	9.58580E-04	
4.44430E-01	1.74330E+02	9.47120E-03	9.95620E-03	0.00000E+00	-3.08690E-04	5.63370E-04	5.76910E-05	7.96480E-04	
4.54670E-01	1.78340E+02	9.14260E-03	9.56400E-03	0.00000E+00	-3.43200E-04	5.02600E-04	1.94520E-05	6.01240E-04	
4.65000E-01	1.82390E+02	8.82960E-03	9.16480E-03	0.00000E+00	-3.89600E-04	5.74430E-04	-1.42650E-05	5.04790E-04	
4.75410E-01	1.86480E+02	8.54260E-03	8.78460E-03	0.00000E+00	-4.07370E-04	6.57680E-04	2.07250E-05	5.14020E-04	
