Theta, Cp
0.043597951344427344, 1.0151546723261946
5.051792573623555, 0.9922490192295323
12.014404609475026, 0.8646318091195575
16.900448143405878, 0.7042922374429224
20.442829705505755, 0.5734027911762815
24.718117797695253, 0.3737963856196539
29.726312419974388, 0.1251064377130362
36.56677336747758, -0.23156730336356035
41.574967989756715, -0.5653353913434946
46.583162612035835, -0.859836645443437
50.73629961587706, -1.1019821210367224
56.9660051216389, -1.4161167920766604
60.63053777208704, -1.599362016849958
69.91402048655567, -1.9167689240465626
79.1975032010243, -2.0312971895298735
87.25947503201022, -1.9396745771432244
92.63412291933417, -1.7400681715865969
96.29865556978231, -1.5371895298733036
99.35243277848909, -1.30158852659335
101.79545454545452, -1.1117988295067205
104.23847631241996, -0.8729255900701007
107.29225352112674, -0.6536857675734775
111.6896927016645, -0.5653353913434946
118.40800256081944, -0.5522464467168307
126.59212548015363, -0.5555186828734966
134.53194622279128, -0.5424297382468326
145.03693982074262, -0.5391575020901667
155.2976312419974, -0.5293407936201686
164.8254161331626, -0.5227963213068363
175.4525608194622, -0.4966184320535081
179.60569782330342, -0.4900739597401762
