Theta, Cp
0.19501625135427503, 1.0044814340588986
9.16576381365114, 0.9193341869398206
14.431202600216686, 0.7848911651728551
18.33152762730228, 0.6370038412291931
25.54712892741062, 0.3098591549295774
30.617551462621883, 0.03201024327784885
36.468039003250276, -0.2861715749039695
43.29360780065006, -0.7522407170294496
49.14409534127844, -1.1197183098591554
56.35969664138677, -1.540973111395647
62.99024918743229, -1.868117797695263
74.49620801733477, -2.213188220230474
81.90682556879739, -2.2938540332906534
89.51245937161428, -2.1997439180537772
97.11809317443118, -1.91741357234315
101.7984832069339, -1.6081946222791297
105.11375947995666, -1.3617157490396932
107.84398699891656, -1.1017925736235594
111.74431202600215, -0.7477592829705508
113.1094257854821, -0.6491677336747761
117.20476706392199, -0.5326504481434062
122.47020585048753, -0.5192061459667094
127.93066088840735, -0.5057618437900131
143.92199349945827, -0.48335467349551875
159.9133261105092, -0.4923175416133163
170.83423618634885, -0.4967989756722153
180, -0.4967989756722153
