Theta, Cp
-0.39003250270855716, 1.0089628681177976
10.92091007583965, 0.8790012804097309
15.79631635969664, 0.7804097311139562
19.891657638136515, 0.6011523687580024
30.032502708559043, 0.09923175416133145
39.78331527627302, -0.45198463508322684
49.729144095341276, -1.0524967989756724
59.86998916576382, -1.6978233034571066
70.01083423618633, -1.9980793854033294
89.90249187432286, -1.6978233034571066
99.45828819068254, -1.2003841229193344
104.5287107258938, -0.8956466069142128
109.79414951245937, -0.8956466069142128
119.93499458288187, -0.8956466069142128
139.8266522210184, -0.8956466069142128
159.52329360780064, -0.9001280409731116
177.85482123510292, -0.8956466069142128
