Theta, Cp
0.19501625135427503, 1.0044814340588986
7.605633802816904, 0.9417413572343147
16.38136511375948, 0.7176696542893723
23.01191765980498, 0.4353393085787449
28.277356446370526, 0.16197183098591528
34.32286023835319, -0.16517285531370063
39.58829902491873, -0.5012804097311143
45.828819068255676, -0.8956466069142128
52.45937161430118, -1.3169014084507045
58.50487540628385, -1.6306017925736236
65.33044420368364, -1.9711907810499358
72.54604550379196, -2.2355953905249684
77.42145178764898, -2.3341869398207433
83.46695557963162, -2.3700384122919336
89.90249187432286, -2.271446862996159
97.50812567713976, -2.024967989756722
101.7984832069339, -1.7874519846350836
106.28385698808233, -1.4423815620998721
109.20910075839652, -1.1421254801536493
112.52437703141928, -0.8956466069142128
115.44962080173349, -0.7208706786171575
119.54496208017332, -0.5953905249679898
131.05092091007583, -0.5864276568501923
142.9469122426869, -0.5640204865556981
160.30335861321777, -0.5864276568501923
170.83423618634885, -0.5998719590268886
179.02491874322857, -0.6043533930857874
