Theta, Cp
0.043597951344427344, 0.9987934915428645
4.441037131882194, 0.9922490192295323
9.693533930857871, 0.8875374622162197
14.457426376440456, 0.7402868351662486
19.22131882202304, 0.5406804296096211
24.47381562099871, 0.2952627178596694
29.604161331626106, 0.007305936073059405
34.73450704225351, -0.2544729564602224
39.498399487836096, -0.5489742105601647
44.50659411011523, -0.859836645443437
49.51478873239435, -1.157610135700045
54.278681177976935, -1.4488391536433212
58.79827144686297, -1.7826072416232557
64.41722151088346, -1.9920303556498804
69.05896286811777, -2.155642163483182
73.94500640204863, -2.293076082063155
78.70889884763122, -2.3519763328831433
84.20569782330344, -2.335615152099813
89.21389244558257, -2.201453469676506
93.73348271446861, -1.8382352562865782
99.59673495518562, -1.5470062383433016
104.48277848911648, -1.1903324972667053
110.46818181818178, -0.9809093832400797
114.98777208706785, -0.8925590070100968
119.99596670934694, -0.9023757154800949
124.51555697823302, -0.9481870216734194
129.89020486555697, -0.9252813685767576
134.8983994878361, -0.9252813685767576
140.27304737516005, -0.9023757154800949
145.28124199743917, -0.8794700623834331
149.80083226632522, -0.8794700623834331
154.80902688860434, -0.869653353913435
160.18367477592827, -0.8925590070100968
165.1918693982074, -0.869653353913435
170.20006402048654, -0.8369309923467743
175.20825864276566, -0.8271142838767764
179.72784891165173, -0.8467477008167728
